episode,step,return,length
507,168248,236.88,353
508,168569,241.38,321
509,168750,13.98,181
510,169326,-53.32,576
511,169901,245.47,575
512,170901,117.53,1000
513,171285,226.57,384
514,171633,222.43,348
515,171832,-22.8,199
516,172231,219.12,399
517,172697,259.22,466
518,173030,247.92,333
519,173396,225.21,366
520,173890,225.82,494
521,174199,250.97,309
522,174439,-19.75,240
523,174848,195.35,409
524,175476,227.16,628
525,175929,234.71,453
526,176303,232.57,374
527,176779,239.1,476
528,177091,29.99,312
529,178091,120.77,1000
530,178451,248.7,360
531,178686,-8.62,235
532,179686,122.27,1000
533,179853,16.98,167
534,180286,242.26,433
535,180571,245.41,285
536,180907,245.52,336
537,181294,-61.72,387
538,181617,256.61,323
539,181986,-15.75,369
540,182199,32.04,213
541,183199,78.08,1000
542,183363,-4.31,164
543,183524,-4.71,161
544,183660,37.45,136
545,184268,243.65,608
546,184596,17.66,328
547,185011,-23.47,415
548,185142,-21.93,131
549,186142,131.63,1000
550,186472,-8.84,330
551,186729,243.05,257
552,187034,241.08,305
553,187490,264.37,456
554,187912,215.37,422
555,188265,25.59,353
556,188562,253.39,297
557,188925,262.12,363
558,189219,246.95,294
559,189606,214.31,387
560,189945,234.35,339
561,190125,-25.44,180
562,190458,253.94,333
563,190740,282.35,282
564,191149,243.42,409
565,191450,250.07,301
566,191754,256.77,304
567,192213,219.33,459
568,192586,204.2,373
569,193272,-19.88,686
570,193453,15.1,181
571,193770,-129.43,317
572,194039,271.91,269
573,194463,252.27,424
574,194682,23.23,219
575,194880,2.06,198
576,195880,86.64,1000
577,196552,248.77,672
578,196665,43.05,113
579,196994,-0.03,329
580,197432,214.71,438
581,198432,116.68,1000
582,198796,220.09,364
583,198927,20.42,131
584,199075,-21.86,148
585,199357,252.42,282
586,199629,239.35,272
587,199959,217.21,330
588,200368,204.06,409
589,200717,224.45,349
590,201131,229.12,414
591,201528,192.88,397
592,201903,201.47,375
593,202229,284.22,326
594,202417,-20.93,188
595,202542,-12.45,125
596,202938,211.04,396
597,203247,231.38,309
598,203442,-2.99,195
599,203833,201.83,391
600,204833,105.58,1000
601,205172,264.74,339
602,205335,1.57,163
603,206335,128.3,1000
604,206665,250.09,330
605,207004,232.4,339
606,207487,225.03,483
607,207811,248.33,324
608,208042,-0.09,231
609,208429,239.38,387
610,208587,1.88,158
611,208909,233.48,322
612,209242,236.52,333
